year,state,state_code,chamber,district,race,candidate,party,votes,percentage,winner,incumbent
2014,Arizona,AZ,State House,6,general,Bob Thorpe,Republican,32886.0,35.23,True,True
2014,Arizona,AZ,State House,6,general,Lanny Morrison,Democratic,27520.0,29.48,False,False
2014,Arizona,AZ,State House,7,general,Jennifer D. Benally,Democratic,27625.0,51.45,True,False
2014,Arizona,AZ,State House,7,general,Albert Hale,Democratic,26071.0,48.55,True,True
2014,Arizona,AZ,State House,8,general,Frank Pratt,Republican,19458.0,36.37,True,True
2014,Arizona,AZ,State House,8,general,"Thomas ""T.J."" Shope",Republican,19198.0,35.88,True,True
2014,Arizona,AZ,State House,8,general,Carmen Casillas,Democratic,14847.0,27.75,False,False
2014,Arizona,AZ,State House,9,general,Victoria Steele,Democratic,33425.0,33.62,True,True
2014,Arizona,AZ,State House,9,general,"Randall ""Randy"" Friese",Democratic,33059.0,33.25,True,False
2014,Arizona,AZ,State House,9,general,Ethan Orr,Republican,32928.0,33.12,False,True
2014,Arizona,AZ,State House,10,general,Bruce Wheeler,Democratic,32731.0,27.49,True,True
2014,Arizona,AZ,State House,10,general,Stefanie Mach,Democratic,31163.0,26.17,True,True
2014,Arizona,AZ,State House,10,general,Todd Clodfelter,Republican,29940.0,25.14,False,False
2014,Arizona,AZ,State House,10,general,William Wildish,Republican,25240.0,21.2,False,False
2014,Arizona,AZ,State House,11,general,Mark Finchem,Republican,36732.0,37.31,True,False
2014,Arizona,AZ,State House,11,general,Vince Leach,Republican,34274.0,34.81,True,False
2014,Arizona,AZ,State House,11,general,Holly Lyon,Democratic,27392.0,27.82,False,False
2014,Arizona,AZ,State House,11,general,Barry McCain,Democratic,49.0,0.05,False,False
2014,Arizona,AZ,State House,12,general,Warren Petersen,Republican,34784.0,40.41,True,True
2014,Arizona,AZ,State House,12,general,Eddie Farnsworth,Republican,32843.0,38.16,True,True
2014,Arizona,AZ,State House,12,general,DJ Rothans,Democratic,18446.0,21.43,False,False
2014,Arizona,AZ,State House,13,general,Steve Montenegro,Republican,28028.0,39.99,True,True
2014,Arizona,AZ,State House,13,general,Darin Mitchell,Republican,27550.0,39.31,True,True
2014,Arizona,AZ,State House,13,general,Steve Hansen,Democratic,14509.0,20.7,False,False
2014,Arizona,AZ,State House,14,general,David Gowan,Republican,34946.0,37.78,True,True
2014,Arizona,AZ,State House,14,general,David Stevens,Republican,34850.0,37.67,True,True
2014,Arizona,AZ,State House,14,general,James C. Burton,Democratic,22713.0,24.55,False,False
2014,Arizona,AZ,State House,15,general,Heather Carter,Republican,38664.0,53.37,True,True
2014,Arizona,AZ,State House,15,general,John Allen,Republican,33785.0,46.63,True,True
2014,Arizona,AZ,State House,16,general,Doug Coleman,Republican,28908.0,39.6,True,True
2014,Arizona,AZ,State House,16,general,Kelly Townsend,Republican,28300.0,38.77,True,True
2014,Arizona,AZ,State House,16,general,Cara Prior,Democratic,15792.0,21.63,False,False
2014,Arizona,AZ,State House,17,general,Jeff Weninger,Republican,32297.0,38.62,True,False
2014,Arizona,AZ,State House,17,general,J.D. Mesnard,Republican,30018.0,35.9,True,True
2014,Arizona,AZ,State House,17,general,Danielle Lee,Democratic,21304.0,25.48,False,False
2014,Arizona,AZ,State House,18,general,Jill Norgaard,Republican,32863.0,34.62,True,False
2014,Arizona,AZ,State House,18,general,Bob Robson,Republican,31587.0,33.27,True,True
2014,Arizona,AZ,State House,18,general,"Denise ""Mitzi"" Epstein",Democratic,30480.0,32.11,False,False
2014,Arizona,AZ,State House,19,general,Mark Cardenas,Democratic,10999.0,37.79,True,True
2014,Arizona,AZ,State House,19,general,Diego Espinoza,Democratic,10076.0,34.62,True,False
2014,Arizona,AZ,State House,19,general,Sophia E. Johnson,Republican,8029.0,27.59,False,False
2014,Arizona,AZ,State House,20,general,Paul Boyer,Republican,25610.0,37.02,True,True
2014,Arizona,AZ,State House,20,general,Anthony Kern,Republican,23799.0,34.4,True,False
2014,Arizona,AZ,State House,20,general,Amy Schwabenlender,Democratic,19779.0,28.59,False,False
2014,Arizona,AZ,State House,21,general,Rick Gray,Republican,29589.0,38.41,True,True
2014,Arizona,AZ,State House,21,general,Tony Rivero,Republican,27826.0,36.12,True,False
2014,Arizona,AZ,State House,21,general,Esther Duran Lumm,Democratic,19629.0,25.48,False,False
2014,Arizona,AZ,State House,22,general,Phil Lovas,Republican,42409.0,32.74,True,True
2014,Arizona,AZ,State House,22,general,David Livingston,Republican,41832.0,32.29,True,True
2014,Arizona,AZ,State House,22,general,Bonnie Boyce-Wilson,Democratic,20173.0,15.57,False,False
2014,Arizona,AZ,State House,22,general,Larry Woods,Democratic,18547.0,14.32,False,False
2014,Arizona,AZ,State House,22,general,Fred Botha,Independent (politician),4093.0,3.16,False,False
2014,Arizona,AZ,State House,22,general,Suzie Easter,Americans Elect,2487.0,1.92,False,False
2014,Arizona,AZ,State House,23,general,Michelle Ugenti,Republican,51124.0,53.49,True,True
2014,Arizona,AZ,State House,23,general,Jay Lawrence,Republican,44453.0,46.51,True,False
2014,Arizona,AZ,State House,24,general,Lela Alston,Democratic,21740.0,38.75,True,True
2014,Arizona,AZ,State House,24,general,Ken Clark,Democratic,21186.0,37.76,True,False
2014,Arizona,AZ,State House,24,general,Lei Lani Cortez,Republican,13183.0,23.5,False,False
2014,Arizona,AZ,State House,25,general,Justin Olson,Republican,34451.0,33.99,True,True
2014,Arizona,AZ,State House,25,general,"Russell ""Rusty"" Bowers",Republican,33220.0,32.78,True,False
2014,Arizona,AZ,State House,25,general,David Butler,Democratic,15145.0,14.94,False,False
