Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
2020,Arizona (special),2020 United States Senate Special election in Arizona,General,Candidate,True,Republican Party (United States),Martha McSally,"1,637,661",48.81%
2020,Arizona (special),2020 United States Senate Special election in Arizona,General,Write-in,False,,,"1,189",0.03%
2020,Arizona (special),2020 United States Senate Special election in Arizona,General,Total,False,,,"3,355,317",100.0%
2020,Arkansas,2020 United States Senate election in Arkansas,General,Winning,True,Republican Party (United States),Tom Cotton,"793,871",66.53%
2020,Arkansas,2020 United States Senate election in Arkansas,General,Candidate,False,Libertarian Party (United States),Ricky Dale Harrington Jr.,"399,390",33.47%
2020,Arkansas,2020 United States Senate election in Arkansas,General,Total,False,,,"1,193,261",100.00%
2020,Colorado,"United States Senate election in Colorado, 2020",General,Winning,False,Democratic Party (United States),John Hickenlooper,"1,731,114",53.50%
2020,Colorado,"United States Senate election in Colorado, 2020",General,Candidate,True,Republican Party (United States),Cory Gardner,"1,429,492",44.18%
2020,Colorado,"United States Senate election in Colorado, 2020",General,Candidate,False,Libertarian Party (United States),Raymon Doane,"56,262",1.74%
2020,Colorado,"United States Senate election in Colorado, 2020",General,Candidate,False,Approval Voting Party,Daniel Doyle,"9,820",0.30%
2020,Colorado,"United States Senate election in Colorado, 2020",General,Candidate,False,Unity Party of America,Stephen Evans,"8,971",0.28%
2020,Colorado,"United States Senate election in Colorado, 2020",General,Total,False,,,"3,235,659",100.00%
2020,Delaware,"United States Senate election in Delaware, 2020",General,Winning,True,Democratic Party (United States),Chris Coons,"291,804",59.44%
2020,Delaware,"United States Senate election in Delaware, 2020",General,Candidate,False,Republican Party (United States),Lauren Witzke,"186,054",37.90%
2020,Delaware,"United States Senate election in Delaware, 2020",General,Candidate,False,Independent Party of Delaware,Mark Turley,"7,833",1.59%
2020,Delaware,"United States Senate election in Delaware, 2020",General,Candidate,False,Libertarian Party (United States),Nadine Frost,"5,244",1.07%
2020,Delaware,"United States Senate election in Delaware, 2020",General,Total,False,,,"490,935",100.0%
2020,Idaho,"United States Senate election in Idaho, 2020",General,Winning,True,Republican Party (United States),Jim Risch,"538,446",62.62%
2020,Idaho,"United States Senate election in Idaho, 2020",General,Candidate,False,Democratic Party (United States),Paulette Jordan,"285,864",33.25%
