Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage,title,url,website,publisher
1978,Minnesota,Democratic primary election results,Primary,Candidate,False,Minnesota Democratic–Farmer–Labor Party,Daryl W. Anderson,"23,159",4.6%,,,,
1978,Minnesota,Democratic primary election results,Primary,Candidate,False,Minnesota Democratic–Farmer–Labor Party,Lloyd M. Roberts,"12,709",2.5%,,,,
1978,Minnesota,Democratic primary election results,Primary,Candidate,False,Minnesota Democratic–Farmer–Labor Party,Dick Bullock,"11,485",2.3%,,,,
1978,Minnesota,Democratic primary election results,Primary,Candidate,False,Minnesota Democratic–Farmer–Labor Party,Emil L. Moses,"9,580",1.9%,,,,
1978,Minnesota,Democratic primary election results,Primary,Total,False,,,"503,116",100.0%,,,,
1978,Minnesota,Republican primary election results,Primary,Winning,False,Independent-Republican Party,Rudy Boschwitz,"185,393",86.8%,,,,
1978,Minnesota,Republican primary election results,Primary,Candidate,False,Independent-Republican Party,Harold Stassen,"28,170",13.2%,,,,
1978,Minnesota,Republican primary election results,Primary,Total,False,,,"213,563",100.0%,,,,
1978,Minnesota,American Party primary election results,Primary,Winning,False,American Party (1969),Sal Carlone,"4,085",100.0%,,,,
1978,Minnesota,American Party primary election results,Primary,Total,False,,,"4,085",100.0%,,,,
1978,Minnesota (special),Democratic special primary election results,Primary,Winning,False,Minnesota Democratic–Farmer–Labor Party,Bob Short,"257,289",48.0%,,,,
1978,Minnesota (special),Democratic special primary election results,Primary,Candidate,False,Minnesota Democratic–Farmer–Labor Party,Donald M. Fraser,"253,818",47.4%,,,,
1978,Minnesota (special),Democratic special primary election results,Primary,Candidate,False,Minnesota Democratic–Farmer–Labor Party,Sharon Anderson,"16,094",3.0%,,,,
1978,Minnesota (special),Democratic special primary election results,Primary,Candidate,False,Minnesota Democratic–Farmer–Labor Party,Richard A. Palmer,"8,425",1.6%,,,,
1978,Minnesota (special),Democratic special primary election results,Primary,Total,False,,,"535,626",100.0%,,,,
1978,Minnesota (special),Republican special primary election results,Primary,Winning,False,Independent-Republicans of Minnesota,David Durenberger,"139,187",67.3%,,,,
1978,Minnesota (special),Republican special primary election results,Primary,Candidate,False,Independent-Republicans of Minnesota,Malcolm Moos,"32,314",15.6%,,,,
1978,Minnesota (special),Republican special primary election results,Primary,Candidate,False,Independent-Republicans of Minnesota,Ken Nordstrom,"14,635",7.1%,,,,
1978,Minnesota (special),Republican special primary election results,Primary,Candidate,False,Independent-Republicans of Minnesota,Will Lundquist,"12,261",5.9%,,,,
1978,Minnesota (special),Republican special primary election results,Primary,Candidate,False,Independent-Republicans of Minnesota,Adell H. Campbell,"8,523",4.1%,,,,
1978,Minnesota (special),Republican special primary election results,Primary,Total,False,,,"206,920",100.0%,,,,
1978,Minnesota (special),American Party special primary election results,Primary,Winning,False,American Party (1969),Paul Helm,"4,585",100.0%,,,,
1978,Minnesota (special),American Party special primary election results,Primary,Total,False,,,"4,585",100.0%,,,,
1978,Mississippi,Democratic primary results,Primary,Winning,False,Democratic Party (United States),Maurice Dantin,"102,968",29.01%,,,,
1978,Mississippi,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Cliff Finch,"98,751",27.83%,,,,
1978,Mississippi,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Charles L. Sullivan,"78,702",22.18%,,,,
1978,Mississippi,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),William L. Waller,"74,465",20.98%,,,,
1978,Mississippi,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Robert L. Robinson,"15,879",4.20%,,,,
1978,Mississippi,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Richard C. Tedford,"4,201",1.11%,,,,
1978,Mississippi,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Helen M. Williams,"2,937",0.78%,,,,
1978,Mississippi,Democratic primary results,Primary,Total,False,,,"377,903",100.00%,,,,
1978,Mississippi,Democratic primary runoff results,Primary,Winning,False,Democratic Party (United States),Maurice Dantin,"235,904",65.35%,,,,
1978,Mississippi,Democratic primary runoff results,Primary,Candidate,False,Democratic Party (United States),Cliff Finch,"125,109",34.66%,,,,
1978,Mississippi,Democratic primary runoff results,Primary,Total,False,,,"361,013",100%,,,,
1978,Mississippi,Republican primary results,Primary,Winning,False,Republican Party (United States),Thad Cochran,"50,857",68.97%,,,,
1978,Mississippi,Republican primary results,Primary,Candidate,False,Republican Party (United States),Charles W. Pickering,"22,880",31.03%,,,,
1978,Mississippi,Republican primary results,Primary,Total,False,,,"73,737",100%,,,,
1978,Montana,Democratic Party primary results,Primary,Winning,False,Democratic Party (United States),Max Baucus,"87,085",65.25%,,,,
1978,Montana,Democratic Party primary results,Primary,Candidate,True,Democratic Party (United States),Paul G. Hatfield,"25,789",19.32%,,,,
1978,Montana,Democratic Party primary results,Primary,Candidate,False,Democratic Party (United States),John Driscoll,"18,184",13.62%,,,,
1978,Montana,Democratic Party primary results,Primary,Candidate,False,Democratic Party (United States),Steve Shugrue,"2,404",1.80%,,,,
1978,Montana,Democratic Party primary results,Primary,Total,False,,,"133,462",100.00%,,,,
1978,Montana,Republican Primary results,Primary,Winning,False,Republican Party (United States),Larry R. Williams,"35,479",61.66%,,,,
1978,Montana,Republican Primary results,Primary,Candidate,False,Republican Party (United States),Bill Osborne,"16,436",28.57%,,,,
1978,Montana,Republican Primary results,Primary,Candidate,False,Republican Party (United States),Clancy Rich,"5,622",9.77%,,,,
1978,Montana,Republican Primary results,Primary,Total,False,,,"57,537",100.00%,,,,
1978,Nebraska,Democratic primary results,Primary,Winning,False,Democratic Party (United States),J. J. Exon,"127,142",99.35%,,,,
1978,Nebraska,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Write-ins,828,0.65%,,,,
1978,Nebraska,Democratic primary results,Primary,Total,False,,,"127,970",100.00%,,,,
1978,Nebraska,Republican primary results,Primary,Winning,False,Republican Party (United States),Don Shasteen,"129,525",78.68%,,,,
1978,Nebraska,Republican primary results,Primary,Candidate,False,Republican Party (United States),Lenore Etchison,"34,916",21.21%,,,,
1978,Nebraska,Republican primary results,Primary,Candidate,False,Republican Party (United States),Write-ins,174,0.11%,,,,
1978,Nebraska,Republican primary results,Primary,Total,False,,,"164,615",100.00%,,,,
1978,New Hampshire,1978 Democratic Senate primary,Primary,Winning,True,Democratic Party (United States),Thomas J. McIntyre,"31,796",80.70%,,,,
1978,New Hampshire,1978 Democratic Senate primary,Primary,Candidate,False,Democratic Party (United States),Raymond J. Coughlan,"7,605",19.30%,,,,
1978,New Hampshire,1978 Democratic Senate primary,Primary,Total,False,,,"39,401",100.00%,,,,
1978,New Hampshire,1978 Republican Senate primary,Primary,Winning,False,Republican Party (United States),Gordon J. Humphrey,"35,503",50.24%,,,,
1978,New Hampshire,1978 Republican Senate primary,Primary,Candidate,False,Republican Party (United States),James A. Masiello,"18,371",26.00%,,,,
1978,New Hampshire,1978 Republican Senate primary,Primary,Candidate,False,Republican Party (United States),Alf E. Jacobson,"13,619",19.27%,,,,
1978,New Hampshire,1978 Republican Senate primary,Primary,Candidate,False,Republican Party (United States),Carmen C. Chimento,"2,885",4.08%,,,,
1978,New Hampshire,1978 Republican Senate primary,Primary,Candidate,False,Democratic Party (United States),"Thomas J. McIntyre (incumbent, write-in)",243,0.34%,,,,
1978,New Hampshire,1978 Republican Senate primary,Primary,Candidate,False,Democratic Party (United States),Raymond J. Coughlan (write-in),1,0.00%,,,,
1978,New Hampshire,1978 Republican Senate primary,Primary,Total,False,,,"70,669",100.00%,,,,
1978,New Jersey,Republican primary results,Primary,Winning,False,Republican Party (United States),Jeff Bell,"118,555",50.74,,,,
1978,New Jersey,Republican primary results,Primary,Candidate,True,Republican Party (United States),Clifford P. Case,"115,082",49.26,,,,
1978,New Jersey,Republican primary results,Primary,Total,False,,,"233,637",100.00,,,,
1978,New Jersey,Democratic primary results,Primary,Winning,False,Democratic Party (United States),Bill Bradley,"217,502",58.90,,,,
1978,New Jersey,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Richard Leone,"97,667",26.45,,,,
1978,New Jersey,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Alexander J. Menza,"32,386",8.77,,,,
1978,New Jersey,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Kenneth C. McCarthy,"9,524",2.58,,,,
1978,New Jersey,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Wesley K. Bell,"8,800",2.38,,,,
1978,New Jersey,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Ray Rollinson,"3,374",0.91,,,,
1978,New Jersey,Democratic primary results,Primary,Total,False,,,"369,253",100.00,,,,
1978,North Carolina,1978 North Carolina U.S. Senate Democratic primary election – First round,Primary,Winning,False,Democratic Party (United States),Luther H. Hodges Jr.,"260,868",40.08%,,,,
1978,North Carolina,1978 North Carolina U.S. Senate Democratic primary election – First round,Primary,Winning,False,Democratic Party (United States),John Ingram,"170,715",26.23%,,,,
1978,North Carolina,1978 North Carolina U.S. Senate Democratic primary election – First round,Primary,Candidate,False,Democratic Party (United States),Lawrence Davis,"105,381",16.19%,,,,
1978,North Carolina,1978 North Carolina U.S. Senate Democratic primary election – First round,Primary,Candidate,False,Democratic Party (United States),McNeill Smith,"82,703",12.71%,,,,
1978,North Carolina,1978 North Carolina U.S. Senate Democratic primary election – First round,Primary,Candidate,False,Democratic Party (United States),Dave McKnight,"9,422",1.45%,,,,
1978,North Carolina,1978 North Carolina U.S. Senate Democratic primary election – First round,Primary,Candidate,False,Democratic Party (United States),William Griffin,"8,907",1.37%,,,,
1978,North Carolina,1978 North Carolina U.S. Senate Democratic primary election – First round,Primary,Candidate,False,Democratic Party (United States),Tom Sawyer,"8,482",1.30%,,,,
1978,North Carolina,1978 North Carolina U.S. Senate Democratic primary election – First round,Primary,Candidate,False,Democratic Party (United States),Joe Felmet,"4,464",0.69%,,,,
1978,North Carolina,1978 North Carolina U.S. Senate Democratic primary election – Second round,Primary,Winning,False,Democratic Party (United States),John Ingram,"244,469",54.24%,,,,
