Year,State,Primary_Type,Poll_Source,Date,Sample,MoE,Candidate,Party,Pct,Incumbent
2012,Arizona,Democratic Primary,Public Policy Polling,"April 28 – May 1, 2011",,,Phil Gordan,D,5%,False
2012,Arizona,Democratic Primary,Public Policy Polling,"April 28 – May 1, 2011",,,Harry Mitchell,D,50%,False
2012,Arizona,Democratic Primary,Public Policy Polling,"April 28 – May 1, 2011",,,Ed Pastor,D,8%,False
2012,Arizona,Democratic Primary,Public Policy Polling,"April 28 – May 1, 2011",,,Felecia Rotellini,D,11%,False
2012,Arizona,Republican Primary,Public Policy Polling,"May 17–20, 2012",,,Wil Cardon,R,421,False
2012,Arizona,Republican Primary,Public Policy Polling,"February 17–19, 2012",,,Wil Cardon,R,412,False
2012,Arizona,Republican Primary,Public Policy Polling,"November 17–20, 2011",,,Wil Cardon,R,400,False
2012,Arizona,Republican Primary,Public Policy Polling,"May 17–20, 2012",,,Jeff Flake,R,± 4.8%,False
2012,Arizona,Republican Primary,Public Policy Polling,"February 17–19, 2012",,,Jeff Flake,R,± 4.8%,False
2012,Arizona,Republican Primary,Public Policy Polling,"November 17–20, 2011",,,Jeff Flake,R,± 4.9%,False
2012,Arizona,Republican Primary,Public Policy Polling,"May 17–20, 2012",,,Bryan Hackbarth,R,20%,False
2012,Arizona,Republican Primary,Public Policy Polling,"February 17–19, 2012",,,Bryan Hackbarth,R,7%,False
2012,Arizona,Republican Primary,Public Policy Polling,"November 17–20, 2011",,,Bryan Hackbarth,R,7%,False
2012,Arizona,Republican Primary,Public Policy Polling,"May 17–20, 2012",,,Doug McKee,R,42%,False
2012,Arizona,Republican Primary,Public Policy Polling,"February 17–19, 2012",,,Doug McKee,R,56%,False
2012,Arizona,Republican Primary,Public Policy Polling,"November 17–20, 2011",,,Doug McKee,R,53%,False
2012,Arizona,Republican Primary,Public Policy Polling,"May 17–20, 2012",,,Clair,R,3%,False
2012,Arizona,Republican Primary,Public Policy Polling,"February 17–19, 2012",,,Clair,R,5%,False
2012,Arizona,Republican Primary,Public Policy Polling,"November 17–20, 2011",,,Clair,R,5%,False
2012,Nevada,Democratic Primary,Public Policy Polling,"April 21–24, 2011",,,Shelley Berkley,D,300,False
2012,Nevada,Democratic Primary,Public Policy Polling,"July 28–31, 2011",,,Shelley Berkley,D,400,False
2012,Nevada,Democratic Primary,Public Policy Polling,"April 21–24, 2011",,,Byron Georgiou,D,±5.7%,False
2012,Nevada,Democratic Primary,Public Policy Polling,"July 28–31, 2011",,,Byron Georgiou,D,±4.9%,False
2012,Nevada,Republican Primary,Public Policy Polling,"January 3–5, 2011",,,Sharron Angle,R,400,False
2012,Nevada,Republican Primary,Public Policy Polling,"January 3–5, 2011",,,John Chachas,R,±4.9%,False
2012,Nevada,Republican Primary,Public Policy Polling,"January 3–5, 2011",,,John Ensign,R,9%,False
2012,Nevada,Republican Primary,Public Policy Polling,"January 3–5, 2011",,,Dean Heller,R,5%,True
2012,Nevada,Republican Primary,Public Policy Polling,"January 3–5, 2011",,,Brian Krolicki,R,20%,False
2012,Nevada,Republican Primary,Public Policy Polling,"January 3–5, 2011",,,Sue Lowden,R,30%,False
2012,Nevada,Republican Primary,Public Policy Polling,"January 3–5, 2011",,,Danny Tarkanian,R,6%,False
2014,Alaska,single_party,Public Policy Polling,"May 8–11, 2014",313,± 5.5%,John Jaramillo,R,3%,False
2014,Alaska,single_party,Public Policy Polling,"February 4–5, 2013",537,± 4.2%,Loren Leman,R,16%,False
2014,Alaska,single_party,Moore Information (R-S. Sullivan),"August 4–5, 2014",500,,Joe Miller,R,17%,False
2014,Alaska,single_party,Moore Information (R-S. Sullivan),"July 29–31, 2014",375,± 5.5%,Joe Miller,R,16%,False
2014,Alaska,single_party,Hellenthal & Assoc.,"June 17–28, 2014",—,,Joe Miller,R,21%,False
2014,Alaska,single_party,Moore Information (R-S. Sullivan),"June 16–18, 2014",500,,Joe Miller,R,13%,False
2014,Alaska,single_party,Dittman Research (R-A. Sullivan),"May 27–29, 2014",500,± 4.4%,Joe Miller,R,12%,False
2014,Alaska,single_party,Public Policy Polling,"May 8–11, 2014",313,± 5.5%,Joe Miller,R,14%,False
2014,Alaska,single_party,Moore Information (R-S. Sullivan),"April 27–28, 2014",—,,Joe Miller,R,12%,False
2014,Alaska,single_party,Ivan Moore,"December 15–22, 2013",335,,Joe Miller,R,19%,False
2014,Alaska,single_party,Public Policy Polling,"July 25–28, 2013",507,± 4.4%,Joe Miller,R,12%,False
2014,Alaska,single_party,Harper Polling,"May 6–7, 2013",379,± 5.0%,Joe Miller,R,14%,False
2014,Alaska,single_party,Public Policy Polling,"February 4–5, 2013",537,± 4.2%,Joe Miller,R,17%,False
2014,Alaska,single_party,Harper Polling,"January 29–30, 2013","1,157",± 2.9%,Joe Miller,R,12%,False
2014,Alaska,single_party,Public Policy Polling,"July 25–28, 2013",507,± 4.4%,Sarah Palin,R,36%,False
2014,Alaska,single_party,Harper Polling,"May 6–7, 2013",379,± 5.0%,Sarah Palin,R,32%,False
2014,Alaska,single_party,Harper Polling,"January 29–30, 2013","1,157",± 2.9%,Sarah Palin,R,27%,False
2014,Alaska,single_party,Public Policy Polling,"February 4–5, 2013",537,± 4.2%,Sean Parnell,R,24%,False
2014,Alaska,single_party,Harper Polling,"January 29–30, 2013","1,157",± 2.9%,Sean Parnell,R,32%,False
2014,Alaska,single_party,Public Policy Polling,"February 4–5, 2013",537,± 4.2%,Dan A. Sullivan,R,19%,False
2014,Alaska,single_party,Moore Information (R-S. Sullivan),"August 4–5, 2014",500,,Dan S. Sullivan,R,42%,False
2014,Alaska,single_party,Moore Information (R-S. Sullivan),"July 29–31, 2014",375,± 5.5%,Dan S. Sullivan,R,35%,False
2014,Alaska,single_party,Hellenthal & Assoc.,"June 17–28, 2014",—,,Dan S. Sullivan,R,35%,False
2014,Alaska,single_party,Moore Information (R-S. Sullivan),"June 16–18, 2014",500,,Dan S. Sullivan,R,36%,False
2014,Alaska,single_party,Dittman Research (R-A. Sullivan),"May 27–29, 2014",500,± 4.4%,Dan S. Sullivan,R,37%,False
2014,Alaska,single_party,Public Policy Polling,"May 8–11, 2014",313,± 5.5%,Dan S. Sullivan,R,40%,False
2014,Alaska,single_party,Moore Information (R-S. Sullivan),"April 27–28, 2014",—,,Dan S. Sullivan,R,38%,False
2014,Alaska,single_party,Ivan Moore,"December 15–22, 2013",335,,Dan S. Sullivan,R,29%,False
2014,Alaska,single_party,Public Policy Polling,"July 25–28, 2013",507,± 4.4%,Dan S. Sullivan,R,15%,False
2014,Alaska,single_party,Moore Information (R-S. Sullivan),"August 4–5, 2014",500,,Mead Treadwell,R,25%,False
2014,Alaska,single_party,Moore Information (R-S. Sullivan),"July 29–31, 2014",375,± 5.5%,Mead Treadwell,R,27%,False
2014,Alaska,single_party,Hellenthal & Assoc.,"June 17–28, 2014",—,,Mead Treadwell,R,31%,False
2014,Alaska,single_party,Moore Information (R-S. Sullivan),"June 16–18, 2014",500,,Mead Treadwell,R,27%,False
2014,Alaska,single_party,Dittman Research (R-A. Sullivan),"May 27–29, 2014",500,± 4.4%,Mead Treadwell,R,35%,False
2014,Alaska,single_party,Public Policy Polling,"May 8–11, 2014",313,± 5.5%,Mead Treadwell,R,26%,False
2014,Alaska,single_party,Moore Information (R-S. Sullivan),"April 27–28, 2014",—,,Mead Treadwell,R,22%,False
2014,Alaska,single_party,Ivan Moore,"December 15–22, 2013",335,,Mead Treadwell,R,34%,False
2014,Alaska,single_party,Public Policy Polling,"July 25–28, 2013",507,± 4.4%,Mead Treadwell,R,26%,False
2014,Alaska,single_party,Harper Polling,"May 6–7, 2013",379,± 5.0%,Mead Treadwell,R,30%,False
2014,Alaska,single_party,Public Policy Polling,"February 4–5, 2013",537,± 4.2%,Mead Treadwell,R,14%,False
2014,Alaska,single_party,Harper Polling,"January 29–30, 2013","1,157",± 2.9%,Mead Treadwell,R,14%,False
2014,West Virginia,Democratic Primary,Public Policy Polling,"September 19–22, 2013",,,Sheirl Fletcher,D,600,False
2014,West Virginia,Democratic Primary,Public Policy Polling,"September 19–22, 2013",,,David Harless,D,± 4%,False
2014,West Virginia,Democratic Primary,Public Policy Polling,"September 19–22, 2013",,,Natalie Tennant,D,8%,False
2014,West Virginia,Democratic Primary,Public Policy Polling,"September 19–22, 2013",,,David Wamsley,D,3%,False
2014,West Virginia,Republican Primary,Harper Polling,"January 21, 2013",,,Shelley Moore Capito,R,462,False
2014,West Virginia,Republican Primary,Public Policy Polling,"September 19–22, 2013",,,Shelley Moore Capito,R,348,False
2014,West Virginia,Republican Primary,Harper Polling,"September 24–25, 2013",,,Shelley Moore Capito,R,354,False
2014,West Virginia,Republican Primary,Harper Polling,"January 21, 2013",,,Rick Lemasters,R,± 4.56%,False
2014,West Virginia,Republican Primary,Public Policy Polling,"September 19–22, 2013",,,Rick Lemasters,R,± 5.3%,False
2014,West Virginia,Republican Primary,Harper Polling,"September 24–25, 2013",,,Rick Lemasters,R,± 5.21%,False
2014,West Virginia,Republican Primary,Harper Polling,"January 21, 2013",,,Pat McGeehan,R,73%,False
2014,West Virginia,Republican Primary,Public Policy Polling,"September 19–22, 2013",,,Pat McGeehan,R,72%,False
2014,West Virginia,Republican Primary,Harper Polling,"September 24–25, 2013",,,Pat McGeehan,R,77%,False
2014,West Virginia,Republican Primary,Public Policy Polling,"September 19–22, 2013",,,Patrick Morrisey,R,5%,False
2014,West Virginia,Republican Primary,Public Policy Polling,"September 19–22, 2013",,,Scott Regan,R,4%,False
2014,West Virginia,Republican Primary,Harper Polling,"September 24–25, 2013",,,Scott Regan,R,7%,False
2014,West Virginia,Republican Primary,Harper Polling,"January 21, 2013",,,Edwin Vanover,R,10%,False
2016,Alabama,Republican Primary,Thomas Partners Strategies (R-McConnell),"January 29–30, 2016","1,299",± 2.7%,Marcus Bowman,R,1%,False
2016,Alabama,Republican Primary,McLaughlin & Associates (R-Shelby),"January 25–26, 2016",600,± 4.0%,Marcus Bowman,R,1%,False
2016,Alabama,Republican Primary,Thomas Partners Strategies (R-McConnell),December 2015,–,,Marcus Bowman,R,1%,False
2016,Alabama,Republican Primary,McLaughlin & Associates (R-Shelby),November 2015,–,,Marcus Bowman,R,1%,False
2016,Alabama,Republican Primary,Thomas Partners Strategies (R-McConnell),"January 29–30, 2016","1,299",± 2.7%,John Martin,R,1%,False
2016,Alabama,Republican Primary,McLaughlin & Associates (R-Shelby),"January 25–26, 2016",600,± 4.0%,John Martin,R,1%,False
2016,Alabama,Republican Primary,Thomas Partners Strategies (R-McConnell),December 2015,–,,John Martin,R,2%,False
2016,Alabama,Republican Primary,McLaughlin & Associates (R-Shelby),November 2015,–,,John Martin,R,2%,False
2016,Alabama,Republican Primary,Thomas Partners Strategies (R-McConnell),"January 29–30, 2016","1,299",± 2.7%,Shadrack McGill,R,2%,False
2016,Alabama,Republican Primary,McLaughlin & Associates (R-Shelby),"January 25–26, 2016",600,± 4.0%,Shadrack McGill,R,1%,False
2016,Alabama,Republican Primary,Thomas Partners Strategies (R-McConnell),December 2015,–,,Shadrack McGill,R,3%,False
2016,Alabama,Republican Primary,McLaughlin & Associates (R-Shelby),November 2015,–,,Shadrack McGill,R,1%,False
2016,Alabama,Republican Primary,Thomas Partners Strategies (R-McConnell),"January 29–30, 2016","1,299",± 2.7%,Jonathan McConnell,R,25%,False
2016,Alabama,Republican Primary,McLaughlin & Associates (R-Shelby),"January 25–26, 2016",600,± 4.0%,Jonathan McConnell,R,9%,False
2016,Alabama,Republican Primary,Thomas Partners Strategies (R-McConnell),December 2015,–,,Jonathan McConnell,R,15%,False
2016,Alabama,Republican Primary,McLaughlin & Associates (R-Shelby),November 2015,–,,Jonathan McConnell,R,5%,False
2016,Alabama,Republican Primary,Thomas Partners Strategies (R-McConnell),"January 29–30, 2016","1,299",± 2.7%,Richard Shelby,R,55%,True
