year,state,state_code,county,subdivision_type,candidate,party,votes,percentage,total_votes,winning_party
2000,Alabama,AL,Talladega,County,Other,Other,380,1.49,25451,Republican
2000,Alabama,AL,Tallapoosa,County,George W. Bush,Republican,9805,60.33,16253,Republican
2000,Alabama,AL,Tallapoosa,County,Al Gore,Democratic,6183,38.04,16253,Republican
2000,Alabama,AL,Tallapoosa,County,Other,Other,265,1.63,16253,Republican
2000,Alabama,AL,Tuscaloosa,County,George W. Bush,Republican,34003,56.56,60114,Republican
2000,Alabama,AL,Tuscaloosa,County,Al Gore,Democratic,24614,40.95,60114,Republican
2000,Alabama,AL,Tuscaloosa,County,Other,Other,1497,2.49,60114,Republican
2000,Alabama,AL,Walker,County,George W. Bush,Republican,13486,52.6,25641,Republican
2000,Alabama,AL,Walker,County,Al Gore,Democratic,11621,45.32,25641,Republican
2000,Alabama,AL,Walker,County,Other,Other,534,2.08,25641,Republican
2000,Alabama,AL,Washington,County,George W. Bush,Republican,4117,54.2,7596,Republican
2000,Alabama,AL,Washington,County,Al Gore,Democratic,3386,44.58,7596,Republican
2000,Alabama,AL,Washington,County,Other,Other,93,1.22,7596,Republican
2000,Alabama,AL,Wilcox,County,George W. Bush,Republican,1661,32.4,5126,Democratic
2000,Alabama,AL,Wilcox,County,Al Gore,Democratic,3444,67.19,5126,Democratic
2000,Alabama,AL,Wilcox,County,Other,Other,21,0.41,5126,Democratic
2000,Alabama,AL,Winston,County,George W. Bush,Republican,6413,68.82,9318,Republican
2000,Alabama,AL,Winston,County,Al Gore,Democratic,2692,28.89,9318,Republican
2000,Alabama,AL,Winston,County,Other,Other,213,2.29,9318,Republican
2000,Arizona,AZ,Apache,County,George W. Bush,Republican,5947,30.57,19456,Democratic
2000,Arizona,AZ,Apache,County,Al Gore,Democratic,13025,66.95,19456,Democratic
2000,Arizona,AZ,Apache,County,Ralph Nader,Green,245,1.26,19456,Democratic
2000,Arizona,AZ,Apache,County,Pat Buchanan,Reform,135,0.69,19456,Democratic
2000,Arizona,AZ,Apache,County,Other,Other,104,0.54,19456,Democratic
2000,Arizona,AZ,Cochise,County,George W. Bush,Republican,18180,54.69,33241,Republican
2000,Arizona,AZ,Cochise,County,Al Gore,Democratic,13360,40.19,33241,Republican
2000,Arizona,AZ,Cochise,County,Ralph Nader,Green,1113,3.35,33241,Republican
2000,Arizona,AZ,Cochise,County,Pat Buchanan,Reform,315,0.95,33241,Republican
2000,Arizona,AZ,Cochise,County,Other,Other,273,0.82,33241,Republican
2000,Arizona,AZ,Coconino,County,George W. Bush,Republican,17562,42.96,40883,Democratic
2000,Arizona,AZ,Coconino,County,Al Gore,Democratic,20280,49.6,40883,Democratic
2000,Arizona,AZ,Coconino,County,Ralph Nader,Green,2478,6.06,40883,Democratic
2000,Arizona,AZ,Coconino,County,Pat Buchanan,Reform,244,0.6,40883,Democratic
2000,Arizona,AZ,Coconino,County,Other,Other,319,0.78,40883,Democratic
2000,Arizona,AZ,Gila,County,George W. Bush,Republican,9158,51.64,17736,Republican
2000,Arizona,AZ,Gila,County,Al Gore,Democratic,7700,43.41,17736,Republican
2000,Arizona,AZ,Gila,County,Ralph Nader,Green,497,2.8,17736,Republican
2000,Arizona,AZ,Gila,County,Pat Buchanan,Reform,227,1.28,17736,Republican
2000,Arizona,AZ,Gila,County,Other,Other,154,0.87,17736,Republican
2000,Arizona,AZ,Graham,County,George W. Bush,Republican,6007,62.16,9664,Republican
2000,Arizona,AZ,Graham,County,Al Gore,Democratic,3355,34.73,9664,Republican
2000,Arizona,AZ,Graham,County,Ralph Nader,Green,144,1.49,9664,Republican
2000,Arizona,AZ,Graham,County,Pat Buchanan,Reform,131,1.36,9664,Republican
2000,Arizona,AZ,Graham,County,Other,Other,27,0.28,9664,Republican
2000,Arizona,AZ,Greenlee,County,George W. Bush,Republican,1619,54.7,2960,Republican
